journal_title,publisher,issn
IEEE Transactions on Information Theory,Institute of Electrical and Electronics Engineers (IEEE),0018-9448
IEEE Transactions on Information Theory,Institute of Electrical and Electronics Engineers (IEEE),1557-9654
Journal of Plant Growth Regulation,Springer Science and Business Media LLC,0721-7595
Journal of Plant Growth Regulation,Springer Science and Business Media LLC,1435-8107
Bulletin hispanique,OpenEdition,0007-4640
Bulletin hispanique,OpenEdition,1775-3821
Acta Physiologica,Wiley,1748-1708
Acta Physiologica,Wiley,1748-1716
Cardiology Journal,VM Media SP. zo.o VM Group SK,1897-5593
Cardiology Journal,VM Media SP. zo.o VM Group SK,1898-018X
Annual Review of Neuroscience,Annual Reviews,0147-006X
Annual Review of Neuroscience,Annual Reviews,1545-4126
Journal of Neuroendocrinology,Wiley,0953-8194
Journal of Neuroendocrinology,Wiley,1365-2826
Estudos Ibero-Americanos,EDIPUCRS,0101-4064
Estudos Ibero-Americanos,EDIPUCRS,1980-864X
International Forum of Allergy & Rhinology,Wiley,2042-6976
International Forum of Allergy & Rhinology,Wiley,2042-6984
Linguistic Approaches to Bilingualism,John Benjamins Publishing Company,1879-9264
Linguistic Approaches to Bilingualism,John Benjamins Publishing Company,1879-9272
Nature Conservation,Pensoft Publishers,1314-3301
Nature Conservation,Pensoft Publishers,1314-6947
"Ophthalmic Surgery, Lasers and Imaging Retina","SLACK, Inc.",2325-8160
"Ophthalmic Surgery, Lasers and Imaging Retina","SLACK, Inc.",2325-8179
Biomedical Microdevices,Springer Science and Business Media LLC,1387-2176
Biomedical Microdevices,Springer Science and Business Media LLC,1572-8781
Publications of the Astronomical Society of Japan,Oxford University Press (OUP),0004-6264
Publications of the Astronomical Society of Japan,Oxford University Press (OUP),2053-051X
British Journal of Occupational Therapy,SAGE Publications,0308-0226
British Journal of Occupational Therapy,SAGE Publications,1477-6006
Revista de Administração de Empresas,FapUNIFESP (SciELO),0034-7590
Revista de Administração de Empresas,FapUNIFESP (SciELO),2178-938X
Aquatic Botany,Elsevier BV,0304-3770
Aquatic Botany,Elsevier BV,1879-1522
Integral Equations and Operator Theory,Springer Science and Business Media LLC,0378-620X
Integral Equations and Operator Theory,Springer Science and Business Media LLC,1420-8989
Water Environment Research,Wiley,1061-4303
Water Environment Research,Wiley,1554-7531
International Journal of Sediment Research,Elsevier BV,1001-6279
International Journal of Sediment Research,Elsevier BV,2589-7284
Nutritional Neuroscience,Informa UK Limited,1028-415X
Nutritional Neuroscience,Informa UK Limited,1476-8305
Mechanics Research Communications,Elsevier BV,0093-6413
Mechanics Research Communications,Elsevier BV,1873-3972
Clinical Breast Cancer,Elsevier BV,1526-8209
Clinical Breast Cancer,Elsevier BV,1938-0666
Quaternaire,OpenEdition,1142-2904
Quaternaire,OpenEdition,1965-0795
ACM Transactions on Internet Technology,Association for Computing Machinery (ACM),1533-5399
ACM Transactions on Internet Technology,Association for Computing Machinery (ACM),1557-6051
The Japanese Economic Review,Wiley,1352-4739
The Japanese Economic Review,Wiley,1468-5876
Revista Internacional de Medicina y Ciencias de la Actividad Física y del Deporte,Servicio de Publicaciones de la Universidad Autonoma de Madrid,1577-0354
The Aeronautical Journal,Cambridge University Press (CUP),0001-9240
The Aeronautical Journal,Cambridge University Press (CUP),2059-6464
Journal of Experimental and Theoretical Physics,Pleiades Publishing Ltd,1063-7761
Journal of Experimental and Theoretical Physics,Pleiades Publishing Ltd,1090-6509
Networks,Wiley,0028-3045
Networks,Wiley,1097-0037
Review of Central and East European Law,Brill,0925-9880
Review of Central and East European Law,Brill,1573-0352
Acta Pharmaceutica,Walter de Gruyter GmbH,1330-0075
Acta Pharmaceutica,Walter de Gruyter GmbH,1846-9558
Contemporary Economic Policy,Wiley,1074-3529
Contemporary Economic Policy,Wiley,1465-7287
Coatings,MDPI AG,2079-6412
JACC: Cardiovascular Interventions,Elsevier BV,1876-7605
JACC: Cardiovascular Interventions,Elsevier BV,1936-8798
International Journal on Document Analysis and Recognition (IJDAR),Springer Science and Business Media LLC,1433-2825
International Journal on Document Analysis and Recognition (IJDAR),Springer Science and Business Media LLC,1433-2833
Systematic Biology,Oxford University Press (OUP),1063-5157
Systematic Biology,Oxford University Press (OUP),1076-836X
Journal of Vibroengineering,JVE International Ltd.,1392-8716
Journal of Vibroengineering,JVE International Ltd.,2538-8460
Revue Neurologique,Elsevier BV,0035-3787
Revue Neurologique,Elsevier BV,2213-0004
The Journal of Sexual Medicine,Elsevier BV,1743-6095
The Journal of Sexual Medicine,Elsevier BV,1743-6109
Natureza & Conservação,Elsevier BV,1679-0073
Natureza & Conservação,Elsevier BV,2178-3675
Journal of the International AIDS Society,Wiley,1758-2652
Child Neuropsychology,Informa UK Limited,0929-7049
Child Neuropsychology,Informa UK Limited,1744-4136
Performance Research,Informa UK Limited,1352-8165
Performance Research,Informa UK Limited,1469-9990
International Journal of Theoretical Physics,Springer Science and Business Media LLC,0020-7748
International Journal of Theoretical Physics,Springer Science and Business Media LLC,1572-9575
American Journal of Philology,Project Muse,0002-9475
American Journal of Philology,Project Muse,1086-3168
JDDG: Journal der Deutschen Dermatologischen Gesellschaft,Wiley,1610-0379
JDDG: Journal der Deutschen Dermatologischen Gesellschaft,Wiley,1610-0387
Journal of Insect Conservation,Springer Science and Business Media LLC,1366-638X
Journal of Insect Conservation,Springer Science and Business Media LLC,1572-9753
Signa: Revista de la Asociación Española de Semiótica,UNED - Universidad Nacional de Educacion a Distancia,1133-3634
Signa: Revista de la Asociación Española de Semiótica,UNED - Universidad Nacional de Educacion a Distancia,2254-9307
Canadian Journal of Plant Pathology,Informa UK Limited,0706-0661
Canadian Journal of Plant Pathology,Informa UK Limited,1715-2992
Journal of Transportation Engineering,American Society of Civil Engineers (ASCE),0733-947X
Journal of Transportation Engineering,American Society of Civil Engineers (ASCE),1943-5436
Clinical and Experimental Medicine,Springer Science and Business Media LLC,1591-8890
Clinical and Experimental Medicine,Springer Science and Business Media LLC,1591-9528
IMA Journal of Applied Mathematics,Oxford University Press (OUP),0272-4960
IMA Journal of Applied Mathematics,Oxford University Press (OUP),1464-3634
"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",SAGE Publications,0954-4119
"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",SAGE Publications,2041-3033
American Educational Research Journal,American Educational Research Association (AERA),0002-8312
American Educational Research Journal,American Educational Research Association (AERA),1935-1011
Fluid Phase Equilibria,Elsevier BV,0378-3812
Fluid Phase Equilibria,Elsevier BV,1879-0224
Journal of Porous Materials,Springer Science and Business Media LLC,1380-2224
Journal of Porous Materials,Springer Science and Business Media LLC,1573-4854
NPG Asia Materials,Springer Science and Business Media LLC,1884-4049
NPG Asia Materials,Springer Science and Business Media LLC,1884-4057
Applied and Computational Harmonic Analysis,Elsevier BV,1063-5203
Applied and Computational Harmonic Analysis,Elsevier BV,1096-603X
Steroids,Elsevier BV,0039-128X
Steroids,Elsevier BV,1878-5867
Global Public Health,Informa UK Limited,1744-1692
Global Public Health,Informa UK Limited,1744-1706
Current Pharmaceutical Biotechnology,Bentham Science Publishers Ltd.,1389-2010
Current Pharmaceutical Biotechnology,Bentham Science Publishers Ltd.,1873-4316
Applications in Plant Sciences,Wiley,2168-0450
Journal of Electromagnetic Waves and Applications,Informa UK Limited,0920-5071
Journal of Electromagnetic Waves and Applications,Informa UK Limited,1569-3937
Seismological Research Letters,Seismological Society of America (SSA),0895-0695
Seismological Research Letters,Seismological Society of America (SSA),1938-2057
Communication and Critical/Cultural Studies,Informa UK Limited,1479-1420
Communication and Critical/Cultural Studies,Informa UK Limited,1479-4233
Cell Transplantation,SAGE Publications,0963-6897
Cell Transplantation,SAGE Publications,1555-3892
Harvard Theological Review,Cambridge University Press (CUP),0017-8160
Harvard Theological Review,Cambridge University Press (CUP),1475-4517
Journal of Fixed Point Theory and Applications,Springer Science and Business Media LLC,1661-7738
Journal of Fixed Point Theory and Applications,Springer Science and Business Media LLC,1661-7746
"Psychiatry, Psychology and Law",Informa UK Limited,1321-8719
"Psychiatry, Psychology and Law",Informa UK Limited,1934-1687
Head & Face Medicine,Springer Nature,1746-160X
Family Medicine,Society of Teachers of Family Medicine,0742-3225
Family Medicine,Society of Teachers of Family Medicine,1938-3800
European Journal of Developmental Psychology,Informa UK Limited,1740-5610
European Journal of Developmental Psychology,Informa UK Limited,1740-5629
Journal of Physiotherapy,Elsevier BV,1836-9553
Journal of Physiotherapy,Elsevier BV,1836-9561
Journal of Mixed Methods Research,SAGE Publications,1558-6898
Journal of Mixed Methods Research,SAGE Publications,1558-6901
Cognition and Emotion,Informa UK Limited,0269-9931
Cognition and Emotion,Informa UK Limited,1464-0600
The Journal of the American Board of Family Medicine,American Board of Family Medicine (ABFM),1557-2625
The Journal of the American Board of Family Medicine,American Board of Family Medicine (ABFM),1558-7118
Worldviews on Evidence-Based Nursing,Wiley,1545-102X
Worldviews on Evidence-Based Nursing,Wiley,1741-6787
Journal of Career Assessment,SAGE Publications,1069-0727
Journal of Career Assessment,SAGE Publications,1552-4590
MIS Quarterly Executive,Association for Information Systems,1540-1960
MIS Quarterly Executive,Association for Information Systems,1540-1979
Journal of Ecumenical Studies,Project Muse,0022-0558
Journal of Ecumenical Studies,Project Muse,2162-3937
Wildlife Biology,Wildlife Biology,0909-6396
Wildlife Biology,Wildlife Biology,1903-220X
Immunologic Research,Springer Science and Business Media LLC,0257-277X
Immunologic Research,Springer Science and Business Media LLC,1559-0755
Soil Mechanics and Foundation Engineering,Springer Science and Business Media LLC,0038-0741
Soil Mechanics and Foundation Engineering,Springer Science and Business Media LLC,1573-9279
Mineralium Deposita,Springer Science and Business Media LLC,0026-4598
Mineralium Deposita,Springer Science and Business Media LLC,1432-1866
Taxon,Wiley,0040-0262
Taxon,Wiley,1996-8175
Experimental Mechanics,Springer Science and Business Media LLC,0014-4851
Experimental Mechanics,Springer Science and Business Media LLC,1741-2765
Empirical Software Engineering,Springer Science and Business Media LLC,1382-3256
Empirical Software Engineering,Springer Science and Business Media LLC,1573-7616
"Journal of Microbiology, Immunology and Infection",Elsevier BV,1684-1182
"Journal of Microbiology, Immunology and Infection",Elsevier BV,1995-9133
The Accounting Review,American Accounting Association,0001-4826
The Accounting Review,American Accounting Association,1558-7967
Journal of the American Pharmacists Association,Elsevier BV,1544-3191
Journal of the American Pharmacists Association,Elsevier BV,1544-3450
Journal of Analytical Toxicology,Oxford University Press (OUP),0146-4760
Journal of Analytical Toxicology,Oxford University Press (OUP),1945-2403
HERD: Health Environments Research & Design Journal,SAGE Publications,1937-5867
HERD: Health Environments Research & Design Journal,SAGE Publications,2167-5112
Journal of East Asia and International Law,Yijun Institute of International Law,1976-9229
Journal of East Asia and International Law,Yijun Institute of International Law,2287-9218
Acta Chromatographica,Akademiai Kiado Zrt.,1233-2356
Acta Chromatographica,Akademiai Kiado Zrt.,2083-5736
The Philosophical Forum,Wiley,0031-806X
The Philosophical Forum,Wiley,1467-9191
Journal de Théorie des Nombres de Bordeaux,Cellule MathDoc/CEDRAM,1246-7405
Journal de Théorie des Nombres de Bordeaux,Cellule MathDoc/CEDRAM,2118-8572
Saúde e Sociedade,FapUNIFESP (SciELO),0104-1290
Saúde e Sociedade,FapUNIFESP (SciELO),1984-0470
Disability and Health Journal,Elsevier BV,1876-7583
Disability and Health Journal,Elsevier BV,1936-6574
Quaternary Geochronology,Elsevier BV,1871-1014
Quaternary Geochronology,Elsevier BV,1878-0350
Guerres mondiales et conflits contemporains,CAIRN,0984-2292
Guerres mondiales et conflits contemporains,CAIRN,2101-0137
Experimental Lung Research,Informa UK Limited,0190-2148
Experimental Lung Research,Informa UK Limited,1521-0499
Acta Geologica Polonica,Walter de Gruyter GmbH,0001-5709
Acta Geologica Polonica,Walter de Gruyter GmbH,2300-1887
Review of Network Economics,Walter de Gruyter GmbH,1446-9022
Review of Network Economics,Walter de Gruyter GmbH,2194-5993
Journal of Mechanics in Medicine and Biology,World Scientific Pub Co Pte Lt,0219-5194
Journal of Mechanics in Medicine and Biology,World Scientific Pub Co Pte Lt,1793-6810
Zoological Science,Zoological Society of Japan,0289-0003
Zoological Science,Zoological Society of Japan,2212-3830
Journal of Applied Behavior Analysis,Wiley,0021-8855
Journal of Applied Behavior Analysis,Wiley,1938-3703
Clinical and Experimental Nephrology,Springer Science and Business Media LLC,1342-1751
Clinical and Experimental Nephrology,Springer Science and Business Media LLC,1437-7799
Neue Zeitschrift für Systematische Theologie und Religionsphilosophie,Walter de Gruyter GmbH,0028-3517
Neue Zeitschrift für Systematische Theologie und Religionsphilosophie,Walter de Gruyter GmbH,1612-9520
ESAIM: Probability and Statistics,EDP Sciences,1262-3318
ESAIM: Probability and Statistics,EDP Sciences,1292-8100
Computer Science and Information Systems,National Library of Serbia,1820-0214
Computer Science and Information Systems,National Library of Serbia,2406-1018
International Journal of Sports Physiology and Performance,Human Kinetics,1555-0265
International Journal of Sports Physiology and Performance,Human Kinetics,1555-0273
Information Fusion,Elsevier BV,1566-2535
Information Fusion,Elsevier BV,1872-6305
Journal of Middle East Women's Studies,Duke University Press,1552-5864
Journal of Middle East Women's Studies,Duke University Press,1558-9579
International Journal of Inclusive Education,Informa UK Limited,1360-3116
International Journal of Inclusive Education,Informa UK Limited,1464-5173
Climate and Development,Informa UK Limited,1756-5529
Climate and Development,Informa UK Limited,1756-5537
Molecular & Cellular Biomechanics,"Computers, Materials and Continua (Tech Science Press)",1556-5297
Molecular & Cellular Biomechanics,"Computers, Materials and Continua (Tech Science Press)",1556-5300
Journal of Law and Society,Wiley,0263-323X
Journal of Law and Society,Wiley,1467-6478
BJU International,Wiley,1464-4096
BJU International,Wiley,1464-410X
Journal of Multilingual and Multicultural Development,Informa UK Limited,0143-4632
Journal of Multilingual and Multicultural Development,Informa UK Limited,1747-7557
International Journal of Science and Mathematics Education,Springer Science and Business Media LLC,1571-0068
International Journal of Science and Mathematics Education,Springer Science and Business Media LLC,1573-1774
Journal of Human Development and Capabilities,Informa UK Limited,1945-2829
Journal of Human Development and Capabilities,Informa UK Limited,1945-2837
Renaissance and Reformation,Consortium Erudit,0034-429X
Renaissance and Reformation,Consortium Erudit,2293-7374
ICES Journal of Marine Science,Oxford University Press (OUP),1054-3139
ICES Journal of Marine Science,Oxford University Press (OUP),1095-9289
KAGAKU KOGAKU RONBUNSHU,"Society of Chemical Engineers, Japan",0386-216X
KAGAKU KOGAKU RONBUNSHU,"Society of Chemical Engineers, Japan",1349-9203
Journal of Texture Studies,Wiley,0022-4901
Journal of Texture Studies,Wiley,1745-4603
Molecular Therapy - Nucleic Acids,Elsevier BV,2162-2531
Indian Journal of Pharmaceutical Sciences,OMICS Publishing Group,0250-474X
Indian Journal of Pharmaceutical Sciences,OMICS Publishing Group,1998-3743
Nature Immunology,Springer Nature,1529-2908
Nature Immunology,Springer Nature,1529-2916
Polymer Engineering & Science,Wiley,0032-3888
Polymer Engineering & Science,Wiley,0096-8129
Polymer Engineering & Science,Wiley,1548-2634
Employee Relations,Emerald,0142-5455
Employee Relations,Emerald,1758-7069
Journal of Coatings Technology and Research,Springer Science and Business Media LLC,1935-3804
Journal of Coatings Technology and Research,Springer Science and Business Media LLC,1945-9645
Systems Research and Behavioral Science,Wiley,1092-7026
Systems Research and Behavioral Science,Wiley,1099-1743
Psychology and Aging,American Psychological Association (APA),0882-7974
Psychology and Aging,American Psychological Association (APA),1939-1498
Journal of Contemporary China,Informa UK Limited,1067-0564
Journal of Contemporary China,Informa UK Limited,1469-9400
Journal of the Asia Pacific Economy,Informa UK Limited,1354-7860
Journal of the Asia Pacific Economy,Informa UK Limited,1469-9648
Current Problems in Pediatric and Adolescent Health Care,Elsevier BV,1538-3199
Current Problems in Pediatric and Adolescent Health Care,Elsevier BV,1538-5442
Annals of Clinical Biochemistry,SAGE Publications,0004-5632
Annals of Clinical Biochemistry,SAGE Publications,1758-1001
Journal of the International Society of Sports Nutrition,Springer Nature,1550-2783
South African Journal of Philosophy,Informa UK Limited,0258-0136
South African Journal of Philosophy,Informa UK Limited,2073-4867
Seizure,Elsevier BV,1059-1311
Seizure,Elsevier BV,1532-2688
Acta Clinica Belgica,Informa UK Limited,1784-3286
Acta Clinica Belgica,Informa UK Limited,2295-3337
World Rabbit Science,Universitat Politecnica de Valencia,1257-5011
World Rabbit Science,Universitat Politecnica de Valencia,1989-8886
Micro & Nano Letters,Institution of Engineering and Technology (IET),1750-0443
Journal of the History of Philosophy,Project Muse,0022-5053
Journal of the History of Philosophy,Project Muse,1538-4586
Asian Herpetological Research,China Science Publishing & Media Ltd.,2095-0357
The Journal of Academic Librarianship,Elsevier BV,0099-1333
The Journal of Academic Librarianship,Elsevier BV,1879-1999
Biointerphases,American Vacuum Society,1559-4106
Biointerphases,American Vacuum Society,1934-8630
Nationalities Papers,Cambridge University Press (CUP),0090-5992
Nationalities Papers,Cambridge University Press (CUP),1465-3923
Acta Ichthyologica et Piscatoria,Szczecinskie Towarzystwo Naukowe,0137-1592
Acta Ichthyologica et Piscatoria,Szczecinskie Towarzystwo Naukowe,1734-1515
IMA Journal of Mathematical Control and Information,Oxford University Press (OUP),0265-0754
IMA Journal of Mathematical Control and Information,Oxford University Press (OUP),1471-6887
Urologia Internationalis,S. Karger AG,0042-1138
Urologia Internationalis,S. Karger AG,1423-0399
Reactive and Functional Polymers,Elsevier BV,1381-5148
Reactive and Functional Polymers,Elsevier BV,1873-166X
Biotechnology Progress,Wiley,1520-6033
Biotechnology Progress,Wiley,8756-7938
IEEE Journal of Quantum Electronics,Institute of Electrical and Electronics Engineers (IEEE),0018-9197
IEEE Journal of Quantum Electronics,Institute of Electrical and Electronics Engineers (IEEE),1558-1713
TURKDERM,Galenos Yayinevi,1019-214X
Psychiatric Quarterly,Springer Science and Business Media LLC,0033-2720
Psychiatric Quarterly,Springer Science and Business Media LLC,1573-6709
Applied Numerical Mathematics,Elsevier BV,0168-9274
Applied Numerical Mathematics,Elsevier BV,1873-5460
Archives of Insect Biochemistry and Physiology,Wiley,0739-4462
Archives of Insect Biochemistry and Physiology,Wiley,1520-6327
International Nursing Review,Wiley,0020-8132
International Nursing Review,Wiley,1466-7657
Психологический журнал,Akademizdatcenter Nauka,0205-9592
Parasite Immunology,Wiley,0141-9838
Parasite Immunology,Wiley,1365-3024
Dairy Science & Technology,Springer Science and Business Media LLC,1958-5586
Dairy Science & Technology,Springer Science and Business Media LLC,1958-5594
Filosofia Unisinos,UNISINOS - Universidade do Vale do Rio Dos Sinos,1519-5023
Filosofia Unisinos,UNISINOS - Universidade do Vale do Rio Dos Sinos,1984-8234
Zeitschrift für Orthopädie und Unfallchirurgie,Georg Thieme Verlag KG,1864-6697
Zeitschrift für Orthopädie und Unfallchirurgie,Georg Thieme Verlag KG,1864-6743
Journal of Philosophy,Philosophy Documentation Center,0022-362X
Journal of Philosophy,Philosophy Documentation Center,1939-8549
Energy for Sustainable Development,Elsevier BV,0973-0826
Energy for Sustainable Development,Elsevier BV,2352-4669
Circulation: Cardiovascular Quality and Outcomes,Ovid Technologies (Wolters Kluwer Health),1941-7705
Circulation: Cardiovascular Quality and Outcomes,Ovid Technologies (Wolters Kluwer Health),1941-7713
Anti-Cancer Agents in Medicinal Chemistry,Bentham Science Publishers Ltd.,1871-5206
Anti-Cancer Agents in Medicinal Chemistry,Bentham Science Publishers Ltd.,1875-5992
Journal of Russian Laser Research,Springer Science and Business Media LLC,1071-2836
Journal of Russian Laser Research,Springer Science and Business Media LLC,1573-8760
Nippon Shokuhin Kagaku Kogaku Kaishi,Japanese Society for Food Science and Technology,1341-027X
Nippon Shokuhin Kagaku Kogaku Kaishi,Japanese Society for Food Science and Technology,1881-6681
Fundamenta Mathematicae,"Institute of Mathematics, Polish Academy of Sciences",0016-2736
Fundamenta Mathematicae,"Institute of Mathematics, Polish Academy of Sciences",1730-6329
Ultraschall in der Medizin - European Journal of Ultrasound,Georg Thieme Verlag KG,0172-4614
Ultraschall in der Medizin - European Journal of Ultrasound,Georg Thieme Verlag KG,1438-8782
Ecosystems,Springer Science and Business Media LLC,1432-9840
Ecosystems,Springer Science and Business Media LLC,1435-0629
European Journal of Environmental and Civil Engineering,Informa UK Limited,1964-8189
European Journal of Environmental and Civil Engineering,Informa UK Limited,2116-7214
Microgravity Science and Technology,Springer Science and Business Media LLC,0938-0108
Microgravity Science and Technology,Springer Science and Business Media LLC,1875-0494
Phytocoenologia,Schweizerbart,0340-269X
Phytocoenologia,Schweizerbart,2363-7153
Separation & Purification Reviews,Informa UK Limited,1542-2119
Separation & Purification Reviews,Informa UK Limited,1542-2127
Kew Bulletin,Springer Science and Business Media LLC,0075-5974
Kew Bulletin,Springer Science and Business Media LLC,1874-933X
Progress in Organic Coatings,Elsevier BV,0300-9440
Progress in Organic Coatings,Elsevier BV,1873-331X
Hypertension Research,Springer Nature,0916-9636
Hypertension Research,Springer Nature,1348-4214
Cancer Treatment Reviews,Elsevier BV,0305-7372
Cancer Treatment Reviews,Elsevier BV,1532-1967
Social Psychological and Personality Science,SAGE Publications,1948-5506
Social Psychological and Personality Science,SAGE Publications,1948-5514
Semantic Web,IOS Press,1570-0844
Semantic Web,IOS Press,2210-4968
The Economic and Labour Relations Review,SAGE Publications,1035-3046
The Economic and Labour Relations Review,SAGE Publications,1838-2673
Journal of Chemical Ecology,Springer Science and Business Media LLC,0098-0331
Journal of Chemical Ecology,Springer Science and Business Media LLC,1573-1561
Journal of Literary Semantics,Walter de Gruyter GmbH,0341-7638
Journal of Literary Semantics,Walter de Gruyter GmbH,1613-3838
Journal of Neuropathology & Experimental Neurology,Oxford University Press (OUP),0022-3069
Journal of Neuropathology & Experimental Neurology,Oxford University Press (OUP),1554-6578
Analysis and Applications,World Scientific Pub Co Pte Lt,0219-5305
Analysis and Applications,World Scientific Pub Co Pte Lt,1793-6861
National Tax Journal,National Tax Association,0028-0283
National Tax Journal,National Tax Association,1944-7477
Asian Journal of Psychiatry,Elsevier BV,1876-2018
Asian Journal of Psychiatry,Elsevier BV,1876-2026
Synthetic Communications,Informa UK Limited,0039-7911
Synthetic Communications,Informa UK Limited,1532-2432
Materials Today Communications,Elsevier BV,2352-4928
Journal of Integrated Pest Management,Oxford University Press (OUP),2155-7470
Journal of Building Engineering,Elsevier BV,2352-7102
Journal of Australian Studies,Informa UK Limited,1444-3058
Journal of Australian Studies,Informa UK Limited,1835-6419
Social Anthropology,Wiley,0964-0282
Social Anthropology,Wiley,1469-8676
Archaeological Reports,Cambridge University Press (CUP),0570-6084
Archaeological Reports,Cambridge University Press (CUP),2041-4102
World Journal of Emergency Medicine,World Journal of Emergency Medicine,1920-8642
Microprocessors and Microsystems,Elsevier BV,0141-9331
Microprocessors and Microsystems,Elsevier BV,1872-9436
Pharmacogenomics and Personalized Medicine,Dove Medical Press Ltd.,1178-7066
Bulletin du Cancer,Elsevier BV,0007-4551
Bulletin du Cancer,Elsevier BV,1769-6917
Additive Manufacturing,Elsevier BV,2214-7810
Additive Manufacturing,Elsevier BV,2214-8604
British Journal of Sports Medicine,BMJ,0306-3674
British Journal of Sports Medicine,BMJ,1473-0480
Journal of Fluorescence,Springer Science and Business Media LLC,1053-0509
Journal of Fluorescence,Springer Science and Business Media LLC,1573-4994
Journal of Nutritional Science and Vitaminology,Center for Academic Publications Japan,0301-4800
Journal of Nutritional Science and Vitaminology,Center for Academic Publications Japan,1881-7742
Archives of Psychiatric Nursing,Elsevier BV,0883-9417
Archives of Psychiatric Nursing,Elsevier BV,1532-8228
The Journal of Industrial Economics,Wiley,0022-1821
The Journal of Industrial Economics,Wiley,1467-6451
MELUS: Multi-Ethnic Literature of the United States,Oxford University Press (OUP),0163-755X
MELUS: Multi-Ethnic Literature of the United States,Oxford University Press (OUP),1946-3170
Journal of Urban Economics,Elsevier BV,0094-1190
Journal of Urban Economics,Elsevier BV,1095-9068
ANNALI SCUOLA NORMALE SUPERIORE - CLASSE DI SCIENZE,Scuola Normale Superiore - Edizioni della Normale,0391-173X
ANNALI SCUOLA NORMALE SUPERIORE - CLASSE DI SCIENZE,Scuola Normale Superiore - Edizioni della Normale,2036-2145
Economics & Human Biology,Elsevier BV,1570-677X
Economics & Human Biology,Elsevier BV,1873-6130
Attachment & Human Development,Informa UK Limited,1461-6734
Attachment & Human Development,Informa UK Limited,1469-2988
Evolutionary Bioinformatics,SAGE Publications,1176-9343
Journal of Education Policy,Informa UK Limited,0268-0939
Journal of Education Policy,Informa UK Limited,1464-5106
Journal of Insect Physiology,Elsevier BV,0022-1910
Journal of Insect Physiology,Elsevier BV,1879-1611
Journal of Business Finance & Accounting,Wiley,0306-686X
Journal of Business Finance & Accounting,Wiley,1468-5957
Precambrian Research,Elsevier BV,0301-9268
Precambrian Research,Elsevier BV,1872-7433
Journal of Semitic Studies,Oxford University Press (OUP),0022-4480
Journal of Semitic Studies,Oxford University Press (OUP),1477-8556
Ore Geology Reviews,Elsevier BV,0169-1368
Ore Geology Reviews,Elsevier BV,1872-7360
Journal of Advances in Modeling Earth Systems,American Geophysical Union (AGU),1942-2466
RLA. Revista de lingüística teórica y aplicada,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),0033-698X
RLA. Revista de lingüística teórica y aplicada,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),0718-4883
International Communication Gazette,SAGE Publications,1748-0485
International Communication Gazette,SAGE Publications,1748-0493
Research in Higher Education,Springer Science and Business Media LLC,0361-0365
Research in Higher Education,Springer Science and Business Media LLC,1573-188X
Business Ethics: A European Review,Wiley,0962-8770
Business Ethics: A European Review,Wiley,1467-8608
Polish Maritime Research,Walter de Gruyter GmbH,1233-2585
Polish Maritime Research,Walter de Gruyter GmbH,2083-7429
Current Genomics,Bentham Science Publishers Ltd.,1389-2029
Current Genomics,Bentham Science Publishers Ltd.,1875-5488
Molecular Pharmacology,American Society for Pharmacology & Experimental Therapeutics (ASPET),0026-895X
Molecular Pharmacology,American Society for Pharmacology & Experimental Therapeutics (ASPET),1521-0111
The Lancet Respiratory Medicine,Elsevier BV,2213-2600
The Lancet Respiratory Medicine,Elsevier BV,2213-2619
Comparative Studies in Society and History,Cambridge University Press (CUP),0010-4175
Comparative Studies in Society and History,Cambridge University Press (CUP),1475-2999
Tulsa Studies in Women's Literature,Project Muse,0732-7730
Tulsa Studies in Women's Literature,Project Muse,1936-1645
Powder Metallurgy,Informa UK Limited,0032-5899
Powder Metallurgy,Informa UK Limited,1743-2901
Phonology,Cambridge University Press (CUP),0952-6757
Phonology,Cambridge University Press (CUP),1469-8188
Journal of Paleolimnology,Springer Science and Business Media LLC,0921-2728
Journal of Paleolimnology,Springer Science and Business Media LLC,1573-0417
IEEE Transactions on Affective Computing,Institute of Electrical and Electronics Engineers (IEEE),1949-3045
IEEE Transactions on Affective Computing,Institute of Electrical and Electronics Engineers (IEEE),2371-9850
Medical Journal of Australia,AMPCo,0025-729X
Medical Journal of Australia,AMPCo,1326-5377
Tropical Conservation Science,SAGE Publications,1940-0829
"Bulletin of the Brazilian Mathematical Society, New Series",Springer Science and Business Media LLC,1678-7544
"Bulletin of the Brazilian Mathematical Society, New Series",Springer Science and Business Media LLC,1678-7714
Journal of Hematology & Oncology,Springer Nature,1756-8722
"Sport, Exercise, and Performance Psychology",American Psychological Association (APA),2157-3905
"Sport, Exercise, and Performance Psychology",American Psychological Association (APA),2157-3913
Annales historiques de la Révolution française,OpenEdition,0003-4436
Annales historiques de la Révolution française,OpenEdition,1952-403X
Environmental History,Oxford University Press (OUP),1084-5453
Environmental History,Oxford University Press (OUP),1930-8892
Lipids,Wiley,0024-4201
Lipids,Wiley,1558-9307
Cancer Cell,Elsevier BV,1535-6108
Cancer Cell,Elsevier BV,1878-3686
